,BITO,ARKK,QQQ,VTI,JPST
2021-10-20,0.03269689737470172,-0.006104189313487773,-0.0012252290645642372,0.004160233316177653,0.0001974723538704648
2021-10-21,-0.0566212156228334,0.006730607437321234,0.006106992372926445,0.002904369367445536,-0.00019743336623889718
2021-10-22,-0.03258206761391469,-0.01596189202741094,-0.008588013889257007,-0.0017460925854946296,-0.0003949447077409296
2021-10-25,0.027348695872372764,0.034479830148619994,0.010400235275245473,0.005674061433446953,0.00019755037534574527
2021-10-26,-0.012570865171308787,-0.0055824644938839985,0.002540220152413175,4.242141432997393e-05,-0.00019751135690315724
2021-10-27,-0.049176235646530175,-0.019400643936266726,0.0028241131756756577,-0.007253754135912449,0.00021730541288023097
2021-10-28,0.03885534260960877,0.024414884660717284,0.01118568232662187,0.010682391146434211,-1.9750745590574326e-05
2021-10-29,0.020470053070507976,-0.0037804076265615105,0.004893284747527371,0.001606561535534512,-0.00039502271380609244
2021-11-01,-0.021421495789995082,0.032337898036627566,0.003496684624948232,0.005023004516482965,-0.0005927682276229973
2021-11-02,0.03707452866000249,-0.01662138404986413,0.004362078310920614,0.002981940361192814,0.0
2021-11-03,-0.014397266959492394,0.012514220705347023,0.010575143914473673,0.007160504166492165,0.00019770660340068247
2021-11-04,-0.026739291903936535,-0.0016051364365969878,0.012727758210739015,0.0036587393979710114,0.0001976675232258085
2021-11-05,-0.00038158229458151727,-0.017765273311897145,0.0008286460425872555,0.0038939519469760597,0.00019762845849791155
2021-11-08,0.08359587733808382,0.009902610688272473,-0.0012795744787615915,0.0016093092349591664,0.0
2021-11-09,0.017381440538845716,-0.02350081037277152,-0.0069838717781239845,-0.002801466650187323,1.9758940921210666e-06
2021-11-10,-0.02319944598337953,-0.031950207468879666,-0.01464784456587731,-0.009832679198512828,-1.9758901880218005e-06
2021-11-11,-0.016188112962306378,0.005057865409344053,0.0029012298133457293,0.001293445153753181,-0.0005927682276229973
2021-11-12,-0.012010569300984875,0.010747185261003045,0.01049613435051966,0.0076256354696224715,0.0003954132068011429
2021-11-15,-0.005835156819839593,-0.00894514767932486,-0.00022800972841519052,-0.0001240643480419079,-0.00039525691699615617
2021-11-16,-0.06452433357789189,0.012431880108991988,0.007272635126574167,0.004053271569194994,0.00019770660340068247
